transaction_id,timestamp_start,account_id,user_name,type,amount,currency,balance,target_id,target_user_name,reference_number,timestamp_end,status,remarks
1,2025-04-08T16:37:04.411434,1,Ben,create_account,1000.0,HKD,1000.0,,,1,2025-04-08T16:37:04.516459,Completed,
2,2025-04-08T16:37:04.516989,2,Ricky,create_account,500.0,HKD,500.0,,,2,2025-04-08T16:37:04.622011,Completed,
3,2025-04-08T16:37:04.622715,1,Ben,deposit,500,HKD,1500.0,,,3,2025-04-08T16:37:04.727773,Completed,
4,2025-04-08T16:37:04.729119,2,Ricky,withdraw,200,HKD,300.0,,,4,2025-04-08T16:37:04.829208,Completed,
5,2025-04-08T16:37:04.830268,3,Victor,create_account,25000.5,HKD,25000.5,,,5,2025-04-08T16:37:04.934649,Completed,
6,2025-04-08T16:37:04.935929,1,Ben,transfer_to,300,HKD,1200.0,2,Ricky,6,2025-04-08T16:37:05.038049,Completed,
7,2025-04-08T16:37:05.039185,2,Ricky,receive_from,300,HKD,600.0,1,Ben,6,2025-04-08T16:37:05.142360,Completed,
8,2025-04-08T16:37:05.142851,3,Victor,transfer_to,1000.52,HKD,23999.98,2,Ricky,7,2025-04-08T16:37:05.247895,Completed,
9,2025-04-08T16:37:05.249257,2,Ricky,receive_from,1000.52,HKD,1600.52,3,Victor,7,2025-04-08T16:37:05.354319,Completed,
10,2025-04-08T16:37:05.355049,1,Ben,withdraw,1000,HKD,200.0,,,8,2025-04-08T16:37:05.460077,Completed,
11,2025-04-08T16:37:05.461049,3,Victor,transfer_to,50,HKD,23949.98,1,Ben,9,2025-04-08T16:37:05.563662,Completed,
12,2025-04-08T16:37:05.564501,1,Ben,receive_from,50,HKD,250.0,3,Victor,9,2025-04-08T16:37:05.669087,Completed,
